2010 Old Faithful Geyser Eruptions

All times are local time (MST or MDT)

  Time and Date     Interval

01/10/10 03:39:06,  1:33:30
01/10/10 05:14:48,  1:35:42
01/10/10 06:41:42,  1:26:54
01/10/10 08:15:12,  1:33:30
01/10/10 09:44:18,  1:29:06
01/10/10 11:15:36,  1:31:18
01/10/10 12:51:18,  1:35:42
01/10/10 14:33:36,  1:42:18
01/10/10 16:03:48,  1:30:12
01/10/10 17:47:12,  1:43:24
01/10/10 19:16:18,  1:29:06
01/10/10 20:47:36,  1:31:18
01/10/10 22:23:18,  1:35:42
01/10/10 23:48:00,  1:24:42
01/11/10 01:23:42,  1:35:42
01/11/10 02:58:18,  1:34:36
01/11/10 04:23:00,  1:24:42
01/11/10 06:02:00,  1:39:00
01/11/10 07:31:06,  1:29:06
01/11/10 08:55:48,  1:24:42
01/11/10 10:33:42,  1:37:54
01/11/10 12:12:42,  1:39:00
01/11/10 13:31:54,  1:19:12
01/11/10 15:02:06,  1:30:12
01/11/10 16:35:36,  1:33:30
01/11/10 18:02:30,  1:26:54
01/11/10 19:39:18,  1:36:48
01/11/10 21:13:54,  1:34:36
01/11/10 22:36:24,  1:22:30
01/12/10 00:20:54,  1:44:30
01/12/10 01:40:06,  1:19:12
01/12/10 03:22:24,  1:42:18
01/12/10 04:43:48,  1:21:24
01/12/10 06:12:54,  1:29:06
01/12/10 07:59:36,  1:46:42
01/12/10 09:36:24,  1:36:48
01/12/10 11:00:00,  1:23:36
01/12/10 12:43:24,  1:43:24
01/12/10 13:41:42,  0:58:18
01/12/10 15:18:30,  1:36:48
01/12/10 16:50:54,  1:32:24
01/12/10 18:23:18,  1:32:24
01/12/10 19:54:36,  1:31:18
01/12/10 21:27:00,  1:32:24
01/12/10 23:08:12,  1:41:12
01/13/10 00:39:30,  1:31:18
01/13/10 02:11:54,  1:32:24
01/13/10 03:43:12,  1:31:18
01/13/10 05:24:24,  1:41:12
01/13/10 07:00:06,  1:35:42
01/13/10 08:33:36,  1:33:30
